[1] id_interacao,[2] avaliador,[3] notas_quanti_originais (P/S/E),[4] comentario_original,[5] codigos_abertos_fase2,[6] categoria_tematica_fase3,[7] analise_triangulacao_fase4
103,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 3.0 / 4.0,"Pergunta genérica, sem conexão ao perfil criativo. A sugestão de formalizar o reconhecimento é desnecessária: ela está recebendo feedback positivo e motivada.",,,
105,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 3.0 / 4.0,A pergunta não ancora no perfil. A sugestão de estabelecer horários fixos é redundante porque ela já pratica mindfulness e separa momentos de lazer.,,,
106,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 3.0 / 3.0,"Pergunta sobre DEI sem conexão com o perfil. A sugestão de promover espaços inclusivos não bate com o relato: ela se beneficia da diversidade, não lidera uma causa. Eixo DEI no limite, a resposta é positiva e não relata problema.",,,
130,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),1.0 / 3.0 / 3.0,"A IA não usou nem o nome da colaboradora. Pergunta solta, sem gancho no perfil de quem valoriza processos e qualidade. A sugestão não aproveita nada do que Daniela gosta.",,,
131,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 1.0,"Pergunta genérica. A sugestão de reservar tempo pra si mesma soa condescendente: ela disse que tem bom equilíbrio. O eixo está completamente errado, a conversa foi sobre work-life balance e foi classificada como Reconhecimento e Recompensas.",,,
133,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),5.0 / 2.0 / 3.0,"Pergunta perfeita, usou exatamente o que Daniela faz. A sugestão de ideias inovadoras não combina com o perfil meticuloso e focado em qualidade. Eixo aceitável, mas Clima Organizacional caberia melhor.",,,
134,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 4.0,"Pergunta genérica, sem nome e sem perfil. Sugestão vaga. Só o eixo salvou essa interação.",,,
135,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 3.0 / 3.0,Pergunta sem conexão com a persona. A meditação é ok mas genérica. O eixo Saúde Mental é questionável: separar lazer de forma proativa é mais work-life balance do que sinal de problema emocional.,,,
136,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),3.0 / 2.0 / 4.0,A pergunta pede opinião teórica em vez de explorar a experiência real. Para uma persona reservada que evita conflitos era uma abertura ótima e foi desperdiçada. Sugestão genérica.,,,
137,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 4.0,"Pergunta genérica. A sugestão está confusa: continuar reconhecendo conquistas é conselho pra quem reconhece os outros, não pra quem está sendo reconhecida.",,,
140,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 4.0,"Daniela tem interesse específico em treinamentos de qualidade, webinars e artigos técnicos. A IA ignorou tudo isso na pergunta e na sugestão.",,,
141,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 3.0,Pergunta e sugestão genéricas. O eixo está borderline: bom clima de trabalho se encaixa mais em Clima Organizacional do que em Qualidade das Relações Interpessoais.,,,
177,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 4.0 / 3.0,"Pergunta sem uso do perfil. A sugestão de descansar foi direta e adequada ao cansaço relatado. O eixo Saúde Física é defensável, mas cansaço é ambíguo e Saúde Mental e Emocional caberia igualmente.",,,
178,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),3.0 / 4.0 / 1.0,"Pergunta razoável como continuidade da interação anterior. Sugestão prática e certeira. O eixo está errado: trabalhar demais e deixar o tempo livre de lado é textualmente Equilíbrio Vida-Trabalho, não Reconhecimento e Recompensas.",,,
181,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),5.0 / 4.0 / 3.0,"Pergunta ótima, usou os eventos de integração que ele aprecia. Sugestão adequada. O eixo está borderline: aprender e interagir em eventos de equipe é mais Clima Organizacional do que Qualidade das Relações Interpessoais.",,,
182,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 4.0 / 4.0,"Pergunta genérica: Nelson adora workshops e palestras de liderança e a IA não aproveitou nada disso. A sugestão compensou, foi prática e acionável.",,,
184,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),3.0 / 4.0 / 3.0,Pergunta razoável pro papel de líder. Sugestão prática. O eixo está borderline: apoiar demandas da equipe cabe mais em Clima Organizacional do que em Qualidade das Relações Interpessoais.,,,
185,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 3.0 / 2.0,"Pergunta sobre DEI sem gancho no perfil. A sugestão de criar uma iniciativa é vaga e redundante: ele já incentiva a participação de todos. O eixo DEI está forçado, valorizar perspectivas sem relato de discriminação é Clima Organizacional.",,,
218,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 2.0,Pergunta genérica. Sugerir busca por aprendizado pra quem disse estar motivado e realizado não tem sustentação. O eixo Desenvolvimento também não tem base no relato.,,,
219,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),5.0 / 2.0 / 4.0,"Pergunta excelente, usou brainstormings e workshops que são o forte dele. A sugestão de continuar incentivando a colaboração é redundante pra quem já faz isso regularmente.",,,
224,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 2.0 / 2.0,Pergunta genérica. Sugerir meditação ou exercício pra alguém extrovertido e proativo que está motivado a superar desafios é uma leitura errada do relato. O eixo Saúde Mental não se sustenta: desafio com motivação não é burnout nem ansiedade.,,,
225,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),4.0 / 2.0 / 4.0,Pergunta bem alinhada ao perfil de colaboração. A sugestão de incentivar participação ativa é redundante: ele já faz brainstorming e feedback constante.,,,
226,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),2.0 / 4.0 / 5.0,"Pergunta genérica. A sugestão foi direta e certeira pro que foi relatado. O eixo está perfeito, uma das melhores classificações do lote.",,,
227,Especialista 3 (h4_amostra_rh_preenchida_especialista3.csv),3.0 / 2.0 / 1.0,"Pergunta razoável. A sugestão de momentos de relaxamento é redundante: ele já faz pausas estratégicas. O eixo é o erro mais grave aqui. Priorizar tarefas e fazer pausas cognitivas não tem relação com Segurança Psicológica, não há nenhum sinal de medo de retaliação ou ambiente punitivo no relato.",,,
131,Especialista 4 (h4_amostra_rh_preenchida_especialista4.csv),5.0 / 4.0 / 2.0,seria mais adequado o enquadramento em Equilíbrio entre vida pessoal e profissional,,,
137,Especialista 4 (h4_amostra_rh_preenchida_especialista4.csv),5.0 / 2.0 / 5.0,"a sugestão parece não se enquadrar para a empregada, mas sim para a gestão",,,
184,Especialista 4 (h4_amostra_rh_preenchida_especialista4.csv),5.0 / 1.0 / 4.0,sugestão parece estar em conflito com a resposta do Nelson. Ele já pratica o que está sendo sugerido,,,
96,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),3.0 / 3.0 / 4.0,"ok, mas ficou um pouco genérico",,,
99,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 3.0 / 2.0,boa pergunta - eixo ficou forçado,,,
102,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 4.0 / 4.0,bem conectado ao contexto dela,,,
103,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,faz sentido para reconhecimento,,,
105,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,coerente e bem simples,,,
106,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 4.0,"está adequado, embora um pouco amplo",,,
130,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),3.0 / 3.0 / 3.0,"válido, mas sem muita personalização",,,
131,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 1.0,o eixo parece errado aqui.,,,
133,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 3.0 / 4.0,boa pergunta - sugestão meio comum,,,
134,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,coerente com o relato,,,
135,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 3.0 / 5.0,adequado mas um pouco padrão,,,
136,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,boa relação com escuta e segurança,,,
137,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 3.0 / 5.0,eixo certo,,,
140,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 3.0 / 5.0,"faz sentido, ainda que genérico",,,
141,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,boa leitura do relato,,,
177,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),3.0 / 4.0 / 3.0,pode ser saúde física mas não é tão claro,,,
178,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 1.0,aqui é mais equilíbrio de vida,,,
181,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 4.0 / 5.0,bem alinhado ao perfil dele,,,
182,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 5.0,coerente com crescimento profissional,,,
184,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 4.0,"faz sentido, com leve viés de escuta",,,
185,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 3.0 / 4.0,"adequado, mas poderia ser mais específico",,,
218,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),3.0 / 3.0 / 3.0,"aceitável, mas bem genérico",,,
219,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 4.0 / 4.0,boa conexão com criatividade e equipe,,,
224,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),3.0 / 3.0 / 3.0,"dá para aceitar, mas faltou evidência forte",,,
225,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),5.0 / 4.0 / 4.0,boa aderência ao perfil do diego,,,
226,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 5.0 / 5.0,bem enquadrado e prático,,,
227,Especialista 5 (h4_amostra_rh_preenchida_especialista5.csv),4.0 / 4.0 / 1.0,eixo não combina muito com o relato,,,
96,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 5.0 / 3.0,Talvez o enquadramento “Clima Organizacional e Engajamento” fosse mais adequado,,,
99,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 5.0,"A sugestão foi de baixa qualidade, caindo no lugar comum.",,,
102,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 2.0 / 5.0,"A sugestão foi pouco assertiva. Talvez devesse envolver outras coisas, tais como treinamento, mais trabalho em grupo",,,
103,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 3.0 / 5.0,"A sugestão infere que não há reconhecimento formal, mas isso pode não ser uma verdade",,,
105,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 5.0,"Há chance da sugestão já ser algo que já é praticado pela pessoa, findando por ser inócua",,,
106,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 5.0,Mais uma vez a sugestão parece redundante e pouco aderente à resposta do colaborador,,,
130,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 3.0,"Creio que caberia “Clima Organizacional e Engajamento”. A sugestão é pouco aderente à resposta, pois a colaboradora não disse que estava buscando aprendizado, mas sim melhoria nos processos",,,
131,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 1.0,"“Equilíbrio entre Vida Pessoal e Profissional” seria um enquadramento mais adequado”. Quanto à sugestão, é fraca, pois é algo que a colaboradora já faz",,,
133,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 4.0 / 2.0,“Clima Organizacional e Engajamento” seria um enquadramento mais adequado,,,
135,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 4.0 / 2.0,“Equilíbrio entre Vida Pessoal e Profissional” seria um enquadramento mais adequado”,,,
136,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),4.0 / 3.0 / 5.0,A sugestão levanta uma questão a repeito de quem seria o responsável por colocá-la em prática. Será que a colaboradora é a responsável por “promover um ambiente acolhedor e aberto ao diálogo”?,,,
137,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 5.0,Essa sugestão me parece que seria muito mais para o líder da colaboradora do que para ela própria,,,
140,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 3.0 / 5.0,"A sugestão é boa, mas óbvia e de pouco uso prático, uma vez que a colaboradora já faz isso",,,
178,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 5.0 / 1.0,“Equilíbrio entre Vida Pessoal e Profissional” seria um enquadramento mais adequado”.,,,
184,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 1.0 / 3.0,"Talvez “Segurança Psicológica e Cultura de Escuta” seja um enquadramento melhor. A sugestão não parece boa, pois a resposta do colaborador denota que ele já deve estar fazendo isso",,,
227,Especialista 6 (h4_amostra_rh_preenchida_especialista6.csv),5.0 / 3.0 / 2.0,“Saúde mental e emocional” me parece um enquadramento mais adequado. A sugestão dada pela IA é algo que o colaborador já faz,,,
99,Especialista 7 (h4_amostra_rh_preenchida_especialista7.csv),5.0 / 5.0 / 2.0,"Pelo relato falar em “empatia” e escuta, creio se tratar dos eixos ESG 9 ou 10.",,,
131,Especialista 7 (h4_amostra_rh_preenchida_especialista7.csv),4.0 / 5.0 / 2.0,"Pelo relato falar em “equilíbrio pessoal”, entendo se tratar do eixo ESG 4.",,,
178,Especialista 7 (h4_amostra_rh_preenchida_especialista7.csv),5.0 / 5.0 / 2.0,"Pelo relato falar em “tempo livre pessoal”, entendo se tratar do eixo ESG 4.",,,
96,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),5.0 / 2.0 / 2.0,Acredito que o enquadramento mais adequado seria o Eixo 3 pois o contexto me parece mais adequado a motivação.,,,
99,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 4.0 / 2.0,Acredito que o enquadramento mais adequado seria o Eixo 9 pois o contexto me parece mais adequado a relações interpessoais.,,,
130,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),5.0 / 2.0 / 2.0,Acredito que o enquadramento mais adequado seria o Eixo 3 pois o contexto me parece mais adequado a motivação.,,,
131,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 2.0 / 2.0,Acredito que o enquadramento mais adequado seria o Eixo 4 pois o contexto me parece mais adequado a vida pessoal e profissonal.,,,
135,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 3.0 / 3.0,"O assunto passou por 2 eixos, eixo 2 e o eixo 4.",,,
141,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 3.0 / 3.0,"O assunto passou por 2 eixos, eixo 3 e o eixo 9.",,,
178,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 4.0 / 1.0,Claramente é o eixo 4,,,
181,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 4.0 / 1.0,Claramente é o eixo 3,,,
184,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 2.0 / 1.0,Claramente é o eixo 7,,,
219,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 2.0 / 2.0,Claramente é o eixo 2,,,
227,Especialista 8 (h4_amostra_rh_preenchida_especialista8.csv),4.0 / 3.0 / 3.0,"O assunto passou por 2 eixos, eixo 2 e o eixo 1.",,,
99,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),5.0 / 4.0 / 3.0,Pergunta alinhada ao perfil. O enquadramento em DEI é apenas parcialmente adequado; o relato trata mais de empatia e colaboração do que inclusão.,,,
131,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),4.0 / 4.0 / 1.0,"O relato trata de equilíbrio entre vida pessoal e profissional, mas foi classificado como Reconhecimento e recompensas.",,,
135,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),4.0 / 4.0 / 3.0,"A resposta menciona equilíbrio entre vida pessoal e profissional e cuidado com a saúde mental. O eixo Saúde Mental é aceitável, mas Work-life Balance também seria forte candidato.",,,
177,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),3.0 / 4.0 / 3.0,O cansaço relatado pode estar ligado tanto à saúde física quanto ao bem-estar emocional; faltou contexto para enquadramento mais preciso.,,,
178,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),5.0 / 5.0 / 1.0,"O relato descreve claramente desequilíbrio entre trabalho e vida pessoal. O enquadramento correto seria Work-life Balance, não Reconhecimento e recompensas.",,,
224,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),4.0 / 4.0 / 3.0,"Há desafios na rotina, mas sem evidências claras de sofrimento emocional. O enquadramento em Saúde Mental é apenas parcialmente sustentado.",,,
227,Especialista 9 (h4_amostra_rh_preenchida_especialista9.csv),4.0 / 4.0 / 1.0,"O relato aborda produtividade, foco e gestão de tarefas. Não há elementos relacionados à segurança psicológica ou cultura de escuta.",,,
